Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.035894600925952008;0.75039250465695495;0.96410539907404802;9.8867106643436315;1.0;-0.19237874367736829;0.13898788078934371;0.15627093639788778;0.32873780297861516;0.03486939254858628;0.75037288465992702;0.96513060745141377;9.8892997951970205;1.0;-0.18850731952982924;0.1391013546860515;0.15589598909282318;0.32844536842685623
2030;1;0.062561560915455519;0.73454966347423278;1.1703678812194267;11.980725563199066;0.79146612213628853;0.0018650089043781293;0.13794219847247316;0.15730113964757719;0.32809369749197753;0.061787053048221581;0.73451353969354838;1.171324955681984;11.98617355863724;0.79048315942810576;0.0018220805669599827;0.13810868744150812;0.15702106287742451;0.32796146796935355
2030;2;0.029029731512786362;0.7328631823101972;1.2130647540276016;12.237088303344599;0.67662948338052231;0.0010591223406963834;0.1355461812420114;0.1546566877459013;0.32279282330412534;0.028464185667419942;0.73287560135627683;1.2137656902571605;12.235508001492429;0.67814914664385573;0.0010365801746514691;0.13573214399291983;0.15424562358491628;0.32253942127382312
2060;3;0.087781484356060924;0.70334758609303849;1.7509867686963074;17.713865498470437;0.46341084946161581;0.027885767410817941;0.13360849630766683;0.15839299852823902;0.32381548536210125;0.0876979800849816;0.70329363123214039;1.7509178284944593;17.725685815054177;0.46262723717775761;0.027432979065511454;0.1339806019297978;0.15826028917226415;0.32406975950365352
2060;4;0.059403899124902765;0.70141864696033429;1.8210169641796308;18.165568191056273;0.38967105893550635;0.016228555751851559;0.13440143741243804;0.15260190085267838;0.31880480181369431;0.060356803145833728;0.70141079603281287;1.8190386771163314;18.166708612967565;0.39063495455807939;0.015971509588807997;0.13495030887446413;0.15242171673276902;0.31921232873134675
2060;5;0.062801995314724995;0.70203864861983933;1.8122573057110221;18.023494231537587;0.39703409396880995;0.0118521657554993;0.13245921629590646;0.15371515015739684;0.31773333775050938;0.061407804976639946;0.70203425269741326;1.8148483767390577;18.025300210286506;0.39680063717251796;0.011633884744943757;0.13274603341447219;0.15301432288438802;0.31726466330520892
2060;6;0.014677175253056146;0.70011007322348573;1.9148977025474569;18.493172839802874;0.32761643744309643;0.0075458531380467875;0.12626827772309937;0.15039101720028866;0.30753352875403789;0.015042572740453323;0.70016595081395361;1.9141207491643577;18.480078121366084;0.3294189810198162;0.0074144857238112039;0.12582766140776111;0.15073829526833282;0.3074301769487145
2100;7;0.093790767553541987;0.66397656097113089;3.0166058799967645;29.773013901011311;0.2243713703224384;0.13047333656381888;0.12897652025351042;0.1539557831100796;0.31505005255082302;0.093127464261623383;0.66388015361079811;3.017409407274867;29.810958476886626;0.2235423631609828;0.12903912817590069;0.12899113707955892;0.15426108596273533;0.31540286730060435
2100;8;0.084897648420244984;0.66164349423280477;3.1346320153487057;30.737883817756771;0.18208387626052047;0.08489295093152549;0.13272195649502116;0.14816086267907411;0.31278775894609184;0.086195129426141437;0.66160321221569129;3.1292753247611538;30.752515735847567;0.18247362072500103;0.083830564676823371;0.13317701787931632;0.14837034232489682;0.31354849428330045
2100;9;0.093582793402141762;0.66228782246410978;3.095952674359927;30.466235906251519;0.18781298351674733;0.074936490627575125;0.13242901131715579;0.14963522849211922;0.31402022716131672;0.096624264704116516;0.6622080042914259;3.0851059713934781;30.494829372019606;0.18831946454152068;0.074187847674567209;0.13351414247233526;0.14989174916371514;0.3155759392487516
2100;10;0.039239521809694124;0.66061919355484944;3.3393833775362571;31.218444994544797;0.15243989559103815;0.047756741124338475;0.12377860981049919;0.14306225120951427;0.29662149659255344;0.041363441427581076;0.66062811023764123;3.331708661368376;31.212494226689355;0.15345169049765831;0.047353672758321252;0.12393452285453435;0.14351723376630732;0.29731780870773822
2100;11;0.10555473546832322;0.66302737709080428;3.0377509741962707;30.153151324113729;0.19635184510239373;0.053871450510589725;0.13317289810775099;0.15161159131429633;0.3170523770384196;0.1075079578622961;0.66299033517394257;3.0301412059171446;30.165415092188145;0.19648068434553359;0.052488758636526356;0.13376194037526518;0.15193273029736429;0.3180808836785402
2100;12;0.040581101402519915;0.66106503541615969;3.3234405418949091;31.030729925867494;0.15353920380032349;0.035544496905659528;0.12273459746292853;0.14377732125841744;0.2962112938693241;0.043936716304264684;0.66113562065530296;3.3111724648518503;30.998233690103703;0.15488524540348692;0.034656053509962703;0.12303382029488981;0.14425152678325123;0.29708489952979139
