Year;Node;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0;Cost;CertainEquivalence;Consumption;Utility;SDF;DeltaConsumption;MU_2;MU_1;MU_0
2015;0;0.033153761792479093;0.75017316728529781;0.96684623820752091;9.9128234372865585;1.0;-0.1819522731542067;0.13878408540715276;0.15641035006107318;0.32866434467429206;0.032181864285541671;0.75017592283944434;0.96781813571445829;9.9128254839805052;1.0;-0.17819435796120331;0.13861705083160811;0.15624875146222397;0.3282977185979909;0.031242772724316182;0.7502252586642062;0.96875722727568381;9.9074559861943463;1.0;-0.17453121462619459;0.13853692844309681;0.15583497941735056;0.32774676299033972
2030;1;0.057490585284669;0.73436038409853699;1.1766724081664519;12.009721099918238;0.79011537619303818;0.0017537471786566172;0.137800032096762;0.15649714712456964;0.32701819549845312;0.058334647594299703;0.73436779821789522;1.1756093468815425;12.008317086282208;0.79185564763326588;0.0017077152837163823;0.13793893781546593;0.15661666747889014;0.32730425878577085;0.058842991272307792;0.73441014246897762;1.1749657841013361;12.002076180614216;0.79241899179277875;0.0016630800569572557;0.13791984144270927;0.15664659885570884;0.32731434305589951
2030;2;0.027776109920520608;0.73262744009234126;1.2146159176106306;12.271937119971206;0.67695836140459797;0.00099747794444215998;0.13519593006658634;0.15551699714162273;0.32335492071189659;0.026623983934127418;0.7326378914233227;1.2160499736849111;12.270875408556936;0.67676579584068453;0.00097551292783659704;0.13492355216077362;0.15538365227909173;0.32290021244843359;0.022433509067366554;0.73272480895330272;1.2212800407638045;12.25988295286964;0.67501456987052699;0.00095684470116097486;0.13443530388062302;0.15421225056013116;0.32104427612909237
2060;3;0.083030504893092549;0.70318122231284219;1.7591865272847533;17.753063890588511;0.46208580642356717;0.026170772742650783;0.13438173242816956;0.15689237105200263;0.32293102959390591;0.080809689015210476;0.70318111762606172;1.7633900784079091;17.754442634032856;0.46136023443770258;0.026115651137303963;0.13399618870853003;0.15653991937616335;0.32210360248679754;0.079215430223886996;0.70322909765191244;1.7663593564636397;17.744846920387179;0.46061607269819566;0.02597498285425992;0.13337357101389496;0.15645392928397531;0.32130897236508316
2060;4;0.055389488252902692;0.70131910295777378;1.828252110387514;18.190349168964016;0.39047358627559381;0.015314129351540196;0.1333560105788027;0.15285922510761152;0.31788442588836791;0.055722066938787923;0.70131593870363307;1.8275750949365144;18.190848971002598;0.39115305415671908;0.015246230379428738;0.13344324442767852;0.15289625148344896;0.31802498020514092;0.056426726023733685;0.70135238092772079;1.8261592818651171;18.18216542977483;0.39146247229286357;0.015137011221733054;0.13360769357184119;0.15282413236801648;0.31813013080341168
2060;5;0.055809634224963128;0.70186114046497716;1.8255155426565637;18.067453538264676;0.39607829348627038;0.011342020928339913;0.13087143746905047;0.15379261127805258;0.31602458719758647;0.057420657658931881;0.70189353581116198;1.8222574709092265;18.059159304086897;0.39748570076591594;0.010986348019104142;0.13105464988058926;0.15403236597021061;0.31649094760125029;0.035881935221312986;0.70208211365584194;1.8635277637217078;18.029812664580792;0.38784813407347024;0.010331769468718832;0.12618319780679188;0.15146885382193354;0.3081553340399138
2060;6;0.016425653337160121;0.69977959843486537;1.9113329774302465;18.568307162559979;0.32749692041352441;0.0072084825633700333;0.12825040523056866;0.15023411188119215;0.30956235880710009;0.015937112000726679;0.6997993878074138;1.9121907022956961;18.563997850652687;0.32746760928509094;0.0070296102736122634;0.12804645868656239;0.15023071393697052;0.30932829348756719;0.014746486912789339;0.69999700874242854;1.9142707247487976;18.519023151856434;0.32847997644375826;0.006557356398806391;0.12853220858544417;0.1486714177563164;0.30812330340257182
2100;7;0.10295056476218876;0.66369607966905675;2.9778864762866695;29.870483432635151;0.22653272098871197;0.12031964285159624;0.13382952745572596;0.15412510823245601;0.32076763487571841;0.099927291947948665;0.66375199332130175;2.9870676474465725;29.851506191792335;0.22606682573257403;0.11978155853284989;0.13285519276981936;0.15398057966936318;0.31944669926012398;0.10115215598271329;0.6638676957184011;2.9821256544328314;29.804631697635873;0.22696874089969146;0.11866247286569376;0.13271859251386059;0.15413610255304044;0.31947663759264489
2100;8;0.085050308023148613;0.6616502208851579;3.1286901431295626;30.733300912606463;0.1844247091604431;0.079377284327186715;0.13348866253575706;0.14799170132469727;0.31339593895912882;0.087828934579055037;0.66168188114614934;3.1186278001024044;30.717333222312579;0.18522528494440194;0.078552131951425963;0.1340803001012211;0.1482131560132483;0.31433811240590903;0.088663635580083763;0.66173340935527303;3.115198307785489;30.695421398539789;0.18509042784563004;0.077888757279609422;0.13412480243935701;0.14828721908732337;0.31447319959241354
2100;9;0.096188145447086454;0.6622904814295606;3.0820581447516493;30.460796650129343;0.19081408607363176;0.069265659638517718;0.13389408484409118;0.14955344321432662;0.3155309782491541;0.096323752188070363;0.66227674459528385;3.08174546565763;30.46620317851367;0.19105260387824552;0.069414662418854078;0.13398098906673911;0.14954703450327889;0.31562878422233537;0.095052086289278165;0.66229763064812019;3.0861979852983681;30.459237114680363;0.19058171160543588;0.069633660667012265;0.13372502017764112;0.14929108830286836;0.3150428075161868
2100;10;0.034126492792180704;0.66049760332697349;3.3539365920922122;31.27287640113158;0.15192572675720528;0.044721817041137868;0.12432778583324028;0.14179665252136725;0.29576367795320513;0.033905057504485456;0.66049117731388496;3.3548022634139723;31.275783988114075;0.15211708103903487;0.044827900306598778;0.12430113897922157;0.14177472353314452;0.29570942595523025;0.041699600618223261;0.66051639668573003;3.3278095360591737;31.257365281672474;0.15361728299563501;0.044538391946424838;0.12568486209885862;0.14256035643984397;0.29818047342722898
